Fuel Type Code,Street Address,Intersection Directions,City,ZIP,Plus4,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,EV J1772 Connector Count,EV J1772 Power Output (kW),EV CCS Connector Count,EV CCS Power Output (kW),EV CHAdeMO Connector Count,EV CHAdeMO Power Output (kW),EV J3400 Connector Count,EV J3400 Power Output (kW)
ELEC,68 Front St,,Healdsburg,95448,,Public,,,2,,200-9,38.606658,-122.861649,7/1/24,113016,2025-01-09 17:57:07 UTC,P,,,9/30/17,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,7227 Westside Rd,,Healdsburg,95405,,Public,,,3,,200-9,38.520826,-122.869841,7/1/24,113017,2025-01-09 17:57:07 UTC,P,,,11/29/17,,,,,J1772 TESLA,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,7227 Westside Rd,,Healdsburg,95405,,Public,,,3,,200-9,38.520826,-122.869841,7/1/24,113017,2025-01-09 17:57:07 UTC,P,,,11/29/17,,,,,J1772 TESLA,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,7227 Westside Rd,,Healdsburg,95405,,Public,,,3,,200-9,38.520826,-122.869841,7/1/24,113017,2025-01-09 17:57:07 UTC,P,,,11/29/17,,,,,J1772 TESLA,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,1,,0,,0,,0,
ELEC,8075 Westside Rd,,Healdsburg,95448,,Public,,,1,,200-9,38.522965,-122.879001,7/1/24,113018,2025-01-09 17:57:07 UTC,P,,,6/21/17,,,,,TESLA,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,3000 Westside Rd,,Healdsburg,95448,,Public,,,3,,200-8,38.577291,-122.876575,7/1/24,113019,2025-01-09 17:57:07 UTC,P,,,10/27/15,,,,,J1772 TESLA,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,3000 Westside Rd,,Healdsburg,95448,,Public,,,3,,200-8,38.577291,-122.876575,7/1/24,113019,2025-01-09 17:57:07 UTC,P,,,10/27/15,,,,,J1772 TESLA,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,3000 Westside Rd,,Healdsburg,95448,,Public,,,3,,200-8,38.577291,-122.876575,7/1/24,113019,2025-01-09 17:57:07 UTC,P,,,10/27/15,,,,,J1772 TESLA,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,1,,0,,0,,0,
ELEC,13771 S Hwy 101,,Hopland,95449,,Public,,,2,,200-9,38.966973,-123.114044,7/1/24,113023,2025-01-09 17:57:07 UTC,P,,,8/19/15,,,,,TESLA,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,13771 S Hwy 101,,Hopland,95449,,Public,,,2,,200-9,38.966973,-123.114044,7/1/24,113023,2025-01-09 17:57:07 UTC,P,,,8/19/15,,,,,TESLA,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
